what,kind,bundleId,bundleVersion,description,time
error,log,,,"Error",1300091695414
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300091695437
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300091696378
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300091697611
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300091699009
error,log,,,"Error",1300091701078
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300091701102
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300091701994
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1300091704146
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300091705845
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1300091705989
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1300091706008
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300091707653
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1300091707794
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300091771204
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.ui",1300091774338
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300091786281
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.properties",1300091786288
error,log,,,"Error",1300091788160
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300091788183
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300091789312
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1300091852502
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300091868544
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300091984253
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1300091987003
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1300091989737
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1300091989737
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300091990245
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1300091990863
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1300091990881
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300091991970
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300092014910
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1300092016449
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1300092016841
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1300092018775
error,log,,,"Error",1300092024775
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300092024797
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300092025770
error,log,,,"Error",1300092043997
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300092044019
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300092044812
error,log,,,"Error",1300092047048
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300092047084
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300092047850
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300092050464
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300092060377
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.properties",1300092060386
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300092061532
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300092068833
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1300092076195
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1300092076196
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300092078824
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300092089583
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300092119218
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300092141207
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1300092141224
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1300092148565
error,log,,,"Error",1300092149541
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300092149562
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300092150465
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300092159227
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300092169057
